"id","author_label","estimator","vcov_type","n_pre","n_post","rm_first_Mbar","rm_avg_Mbar","rm_peak_Mbar","att_first","att_avg","att_peak"
395,"Malkova (2018)","CS-NYT","full_IF",4,1,1,1,1,1.96793775996215,1.96793775996215,1.96793775996215
395,"Malkova (2018)","TWFE","full",4,6,0.25,0.25,0,2.37755344495897,10.4539740232038,14.8304604101647
401,"Rossin-Slater (2017)","CS-NYT","full_IF",4,6,0,0,0,-0.00971543547783102,-0.00337443505275507,-0.0170391585482522
401,"Rossin-Slater (2017)","TWFE","full",4,6,0,0,0,-0.0179500987015883,-0.0106224008284039,-0.0201470281775375
420,"Bailey, Goodman-Bacon (2015)","CS-NT","full_IF",5,11,0,0,0,-22.1330521340487,-63.859592278161,-85.8992157337934
420,"Bailey, Goodman-Bacon (2015)","TWFE","full",5,11,0.5,0.25,0.25,-25.2314251792593,-58.1840305883109,-78.3350299805698
432,"Gallagher (2014)","CS-NT","full_IF",2,4,NA,2,2,0.125727128521339,0.147947523358245,0.169657583539525
432,"Gallagher (2014)","TWFE","full",2,4,2,1.75,2,0.0896018398129599,0.102712783527641,0.113379895021161
433,"DeAngelo, Hansen (2014)","CS-NT","full_IF",5,7,0,0,0.25,0.209853226723878,1.15783242150123,3.05973401276962
433,"DeAngelo, Hansen (2014)","TWFE","full",5,7,0,0,0.25,0.244700205379317,2.13870513313289,4.17888845862351
437,"Hausman (2014)","CS-NT","full_IF",2,4,0,0,0,17.7538125,42.3819079861111,137.839208333333
437,"Hausman (2014)","TWFE","full",2,4,0,0,0,-11.5784837020914,-1.43892276903641,40.638408381487
744,"Jayachandran et al. (2010)","CS-NT","full_IF",11,7,1,0.5,0.75,-0.138968870611264,-0.333230450499319,-0.578011891194793
744,"Jayachandran et al. (2010)","TWFE","full",11,7,1,0.75,1,-0.128484547608668,-0.314510241707252,-0.558273901906074
1094,"Fisman & Wang (2017)","CS-NT","full_IF",3,5,0,0,0,-0.0752127586099186,-0.0227012038731869,-0.113031873393782
1094,"Fisman & Wang (2017)","TWFE","full",3,5,0,0,0,-0.0562809227497387,-0.0239297544026551,-0.0731544969359499
2303,"Cao & Ma (2023)","CS-NT","full_IF",4,6,0.25,0.25,0.25,-5.09973657265987,-9.15608556170005,-13.5283838877037
2303,"Cao & Ma (2023)","TWFE","full",4,6,0,0,0,-2.62619400679778,-3.95338902564947,-6.02201840710046
