"id","author_label","group_label","beta_twfe","se_twfe","beta_twfe_no_ctrls","se_twfe_no_ctrls","att_csdid_nt","se_csdid_nt","att_csdid_nyt","se_csdid_nyt","att_nt_simple","se_nt_simple","att_nyt_simple","se_nyt_simple","att_nt_dynamic","se_nt_dynamic","att_nyt_dynamic","se_nyt_dynamic","att_cs_nt_with_ctrls","se_cs_nt_with_ctrls","att_cs_nt_with_ctrls_dyn","se_cs_nt_with_ctrls_dyn","cs_nt_with_ctrls_status","att_cs_nyt_with_ctrls","se_cs_nyt_with_ctrls","att_cs_nyt_with_ctrls_dyn","se_cs_nyt_with_ctrls_dyn","cs_nyt_with_ctrls_status","has_event_study","treatment_timing","data_structure"
79,"Carpenter, Lawler (2019)","escalonada_controles",0.135035673651348,0.0139617451673687,0.152750117844381,0.0166828782034991,0.155868525808514,0.0175689872850884,0.0901330765446273,0.0203572033017774,0.159202174184125,0.0208967500968385,0.09543334976573,0.0203331381705908,0.16250285814489,0.0304337090364054,0.0866094993010531,0.0245249477226627,0,NA,0,NA,"OK",0,NA,0,NA,"OK",TRUE,"staggered","repeated_cross_section"
80,"Marcus et al. (2022)","unica_controles",0.00892490313153214,0.0187175608907998,0.00892490313153214,0.0187175608907998,0.0199139282284856,0.0277810595262598,NA,NA,0.0199139282284856,0.0293285636439846,NA,NA,0.0199139282284856,0.0295155139869605,NA,NA,NA,NA,NA,NA,"N/A_no_twfe_controls",NA,NA,NA,NA,"NOT_ATTEMPTED",TRUE,"single","repeated_cross_section"
97,"Bhalotra et al. (2021)","unica_sem_controles",-0.303140512606704,0.0690796668955506,NA,NA,-0.351769718142904,0.0377486330032425,NA,NA,-0.351769718142904,0.0382991999075986,NA,NA,-0.351769718142904,0.0392353191373218,NA,NA,0,NA,0,NA,"OK",NA,NA,NA,NA,"NOT_ATTEMPTED",TRUE,"single","repeated_cross_section"
125,"Levine, McKnight & Heep (2011)","escalonada_controles",-0.000452018963804086,0.00654191379603101,0.00272315946960885,0.00702022097412187,0.00199806186178089,0.0106909886540283,0.00318785362516692,0.0109046872867436,-0.00403366558779646,0.00788454412860007,-0.00226912032585084,0.00816446392008612,-0.00888104007974012,0.0072963082582217,-0.00681640878013286,0.00729383766156654,-0.0358373897147399,0.0160229538268781,-0.0267513896316765,0.0151483631218465,"OK",-0.0349133341726881,0.016645679431055,-0.0264048199746739,0.0166929759067649,"OK",TRUE,"staggered","repeated_cross_section"
133,"Hoynes et al. (2015)","unica_controles",-0.386842368254676,0.0825840476845098,-0.447028136660399,0.103396741137085,-0.403015667918745,0.0875004258959947,NA,NA,-0.403015667918745,0.0906421447175791,NA,NA,-0.403015667918745,0.0937312750518265,NA,NA,0,NA,0,NA,"OK",NA,NA,NA,NA,"NOT_ATTEMPTED",TRUE,"single","repeated_cross_section"
147,"Greenstone, Hanna (2014)","escalonada_controles",8.01476783965008,11.9257718040324,14.4834936468271,10.552939296023,6.96548721794927,19.9408287246858,6.51600230673052,19.1948317650853,7.7111150179305,20.2110100105763,7.1908340323915,18.4184858404892,9.44161653582042,22.8655388386794,8.99213162460167,20.3123119989791,0,NA,0,NA,"OK",0,NA,0,NA,"OK",TRUE,"staggered","panel"
201,"Maclean & Pabilonia (2025)","escalonada_controles",4.60861691507703,1.79896812723822,1.82010743998705,2.35154633246264,0.637268924455559,6.0548062118633,NA,NA,-1.91597226741938,5.79478281120904,NA,NA,-3.04406594594369,4.74456559505052,NA,NA,NA,NA,NA,NA,"FAIL_other: The following variables are not in data: fam_med, pto_state, poverty, pop, female, age, age2, non_wh",NA,NA,NA,NA,"NOT_ATTEMPTED",TRUE,"staggered","repeated_cross_section"
210,"Li et al. (2026)","escalonada_controles",0.0185367205537801,0.00573760536878165,0.0234943585758032,0.00519396732795784,NA,NA,0.0184145047165999,0.0109310667987083,NA,NA,0.0209070634464497,0.0121782235899865,NA,NA,0.0338483802322122,0.0192000814074726,NA,NA,NA,NA,"NOT_ATTEMPTED",0,NA,0,NA,"OK",TRUE,"staggered","panel"
213,"Estrada & Lombardi (2022)","unica_sem_controles",-0.0371804135685964,0.0102530414315688,-0.0371804135685964,0.0102530414315688,-0.0299055242594536,0.0152577777909849,NA,NA,-0.0299055242594536,0.0140907689542603,NA,NA,-0.0299055242594536,0.0143336021668581,NA,NA,NA,NA,NA,NA,"N/A_no_twfe_controls",NA,NA,NA,NA,"NOT_ATTEMPTED",TRUE,"single","repeated_cross_section"
228,"Sarmiento, Wagner & Zaklan (2023)","escalonada_sem_controles",-1.23958302550756,0.327351897853744,-1.23958302550756,0.327351897853744,-0.970668959648403,0.245161462722455,-0.971530978768732,0.247859007155534,-1.07056876982979,0.26962042667046,-1.07061771222566,0.255269081731087,-1.22780601214395,0.295360728501104,-1.22876775091668,0.288103907810035,NA,NA,NA,NA,"N/A_no_twfe_controls",NA,NA,NA,NA,"N/A_no_twfe_controls",TRUE,"staggered","panel"
233,"Kresch (2020)","unica_controles",2868.31728211524,1254.26045015833,2997.0994196046,1308.51335450581,3329.35095873265,1199.77970421444,NA,NA,3329.35095873265,1208.53191169215,NA,NA,3329.35095873265,1262.85690424994,NA,NA,2883.6138843099,1991.33877004194,2883.6138843099,2089.54269499947,"OK",NA,NA,NA,NA,"NOT_ATTEMPTED",TRUE,"single","panel"
241,"Soliman (2025)","escalonada_sem_controles",-33.6514775751975,6.48591329761202,-33.6514775751975,6.48591329761202,-48.4913056131598,7.48428080592485,-48.5539054348841,7.69305642053942,-50.3407017875776,7.71838310348161,-50.4185239747887,8.05457150395198,-70.038131595302,12.3541297209151,-70.0876493888497,11.488570110595,NA,NA,NA,NA,"N/A_no_twfe_controls",NA,NA,NA,NA,"N/A_no_twfe_controls",TRUE,"staggered","panel"
253,"Bancalari (2024)","escalonada_sem_controles",0.737334766407397,0.415934665102275,0.737334766407397,0.415934665102275,2.35459312879988,1.1709252377544,2.25547243664839,1.00998477451645,2.56891027337649,1.35209708573137,2.50873829327325,1.03325789279467,2.97419321876453,1.65053736186012,2.94940230386936,1.27992816019606,NA,NA,NA,NA,"N/A_no_twfe_controls",NA,NA,NA,NA,"N/A_no_twfe_controls",TRUE,"staggered","panel"
254,"Gandhi et al. (2024)","unica_sem_controles",5.49134462694104,0.580756789052726,NA,NA,5.69294688774627,0.915350232676549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"single","panel"
262,"Anderson, Charles, Rees (2020)","escalonada_controles",1.22100381425433,0.887922734620682,1.20589974703398,0.892163767222095,1.26006970149206,0.485829922778354,1.47286586283357,2.1573091604624,0.994644924138791,0.403647671011592,1.27030343253399,2.22233090697078,0.980118085028023,0.404791181885583,1.23722146993408,2.31743870043967,0,NA,0,NA,"OK",2.45168537233605,2.70533015658137,2.72257151372146,2.50802131621571,"OK",TRUE,"staggered","panel"
263,"Axbard, Deng (2024)","unica_controles",0.00332821701419623,0.000556311619853736,0.00332821701419623,0.000556311619853736,0.00259567620388425,0.00375832011957793,NA,NA,0.00259567620388425,0.00380822143562127,NA,NA,0.00259567620388425,0.00379293988097961,NA,NA,NA,NA,NA,NA,"N/A_no_twfe_controls",NA,NA,NA,NA,"NOT_ATTEMPTED",TRUE,"single","panel"
267,"Bhalotra, Clarke, Gomes, Venkataramani (2022)","escalonada_sem_controles",-0.0821277794730527,0.0506622722490131,-0.0821277794730527,0.0506622722490131,-0.111983624946,0.126842604342032,-0.111487327422866,0.12357981673554,-0.130619362052081,0.132821221113754,-0.129700256489382,0.126938543983435,-0.127194369084202,0.0965241767682442,-0.126872264448194,0.0947819546375221,NA,NA,NA,NA,"N/A_no_twfe_controls",NA,NA,NA,NA,"N/A_no_twfe_controls",TRUE,"staggered","panel"
271,"Sekhri, Shastry (2024)","unica_controles",67.8101003736321,11.8621029043069,69.7517844119797,11.9116890928135,69.7517844119774,11.6914250088317,NA,NA,69.7517844119774,11.624523112744,NA,NA,69.7517844119774,11.2468357947069,NA,NA,71.8869592643725,12.1068080590091,71.8869592643725,12.0534258366397,"OK",NA,NA,NA,NA,"NOT_ATTEMPTED",TRUE,"single","panel"
281,"Steffens, Pereda (2025)","unica_sem_controles",0.00240178226014686,0.00552798153722883,0.00240178226014686,0.00552798153722883,0.000313601999211154,0.00644480455796799,NA,NA,0.000313601999211154,0.00652124966553941,NA,NA,0.000313601999211154,0.00643957329500524,NA,NA,NA,NA,NA,NA,"N/A_no_twfe_controls",NA,NA,NA,NA,"NOT_ATTEMPTED",TRUE,"single","panel"
290,"Arbogast et al. (2022)","escalonada_controles",-0.0182368292152523,0.00699383056789931,-0.0180205701432901,0.00669049401857388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAIL_other: argumento de comprimento zero",NA,NA,NA,NA,"FAIL_other: argumento de comprimento zero",TRUE,"staggered","panel"
304,"Arthi, Beach & Hanlon (2022)","unica_sem_controles",2.19350069864194,0.463496508539381,2.19350069864194,0.463496508539381,2.2417723971972,0.430390764048418,NA,NA,2.2417723971972,0.416142221697772,NA,NA,2.2417723971972,0.383178774588157,NA,NA,NA,NA,NA,NA,"N/A_no_twfe_controls",NA,NA,NA,NA,"NOT_ATTEMPTED",FALSE,"single","panel"
305,"Brodeur, Yousaf (2020)","escalonada_sem_controles",-1.34792178014962,0.522946967649893,-1.34792178014962,0.522946967649893,-1.54605032548229,0.63460917047885,-1.53223994344891,0.590269432182467,-1.27603718064916,0.708316978936434,-1.25746230126041,0.692567975870144,-0.923090527175429,1.09037867139212,-0.909905500363304,1.01254484881029,NA,NA,NA,NA,"N/A_no_twfe_controls",NA,NA,NA,NA,"N/A_no_twfe_controls",TRUE,"staggered","panel"
309,"Johnson, Schwab, Koval (2024)","escalonada_sem_controles",-0.136670375733111,0.0460784086838844,-0.136670375733111,0.0460784086838844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A_no_twfe_controls",NA,NA,NA,NA,"N/A_no_twfe_controls",TRUE,"staggered","panel"
311,"Galasso & Schankerman (2024)","escalonada_sem_controles",0.662503301400722,0.0504269679817082,0.662503301400722,0.0504269679817082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A_no_twfe_controls",NA,NA,NA,NA,"NOT_ATTEMPTED",TRUE,"staggered","panel"
321,"Xu (2023)","unica_sem_controles",-0.142352229588409,0.041021211634704,-0.142352229588409,0.041021211634704,-0.110295966808318,0.0786627749804537,NA,NA,-0.110295966808318,0.0774360921416974,NA,NA,-0.110295966808318,0.0716671132632433,NA,NA,NA,NA,NA,NA,"N/A_no_twfe_controls",NA,NA,NA,NA,"NOT_ATTEMPTED",TRUE,"single","panel"
323,"Prem, Vargas, Mejia (2023)","unica_sem_controles",0.642699796548609,0.199192792312319,0.642699796548609,0.199192792312319,0.598834789327718,0.195124089306321,NA,NA,0.598834789327718,0.223365639142188,NA,NA,0.598834789327718,0.203712242782426,NA,NA,NA,NA,NA,NA,"N/A_no_twfe_controls",NA,NA,NA,NA,"NOT_ATTEMPTED",TRUE,"single","panel"
333,"Clarke, Muhlrad (2021)","unica_sem_controles",-0.0635760976965945,0.0126052486776013,-0.0635760976965945,0.0126052486776013,-0.0577741129794464,0.01374318635364,NA,NA,-0.0577741129794464,0.0129856990319782,NA,NA,-0.0577741129794464,0.0130045202435216,NA,NA,NA,NA,NA,NA,"N/A_no_twfe_controls",NA,NA,NA,NA,"NOT_ATTEMPTED",TRUE,"single","panel"
335,"Le Moglie, Sorrenti (2022)","unica_controles",0.0405299905518192,0.012735679263898,0.038086353516092,0.0210120733999816,0.0463593590016268,0.0182379794240965,NA,NA,0.0463593590016268,0.0189030190339701,NA,NA,0.0463593590016268,0.0195740504117934,NA,NA,0,NA,0,NA,"OK",NA,NA,NA,NA,"NOT_ATTEMPTED",TRUE,"single","panel"
