"scope","item","status","detail","path"
"figures","overleaf agregado/agregado_dynamic_v3.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Figures/agregado/agregado_dynamic_v3.pdf"
"figures","health_did_replication agregado/agregado_dynamic_v3.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Figures/agregado/agregado_dynamic_v3.pdf"
"figures","overleaf agregado/density_z_dynamic.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Figures/agregado/density_z_dynamic.pdf"
"figures","health_did_replication agregado/density_z_dynamic.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Figures/agregado/density_z_dynamic.pdf"
"figures","overleaf agregado/variacao_pct_dynamic.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Figures/agregado/variacao_pct_dynamic.pdf"
"figures","health_did_replication agregado/variacao_pct_dynamic.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Figures/agregado/variacao_pct_dynamic.pdf"
"figures","overleaf agregado/panel_es_6cases.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Figures/agregado/panel_es_6cases.pdf"
"figures","health_did_replication agregado/panel_es_6cases.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Figures/agregado/panel_es_6cases.pdf"
"figures","overleaf agregado/panel_binning_76.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Figures/agregado/panel_binning_76.pdf"
"figures","health_did_replication agregado/panel_binning_76.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Figures/agregado/panel_binning_76.pdf"
"figures","overleaf agregado/density_covariates_zscore.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Figures/agregado/density_covariates_zscore.pdf"
"figures","health_did_replication agregado/density_covariates_zscore.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Figures/agregado/density_covariates_zscore.pdf"
"figures","overleaf agregado/panel_csdid_controls_133.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Figures/agregado/panel_csdid_controls_133.pdf"
"figures","health_did_replication agregado/panel_csdid_controls_133.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Figures/agregado/panel_csdid_controls_133.pdf"
"figures","overleaf agregado/panel_graduated_sensitivity.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Figures/agregado/panel_graduated_sensitivity.pdf"
