"T","G","weight","cohort_raw","cohort_year","cohort_lab"
230,2,0.000299897756959869,187,2019,"Cohort 2019"
231,2,0.0016787708259242,187,2019,"Cohort 2019"
232,2,0.00169357602810879,187,2019,"Cohort 2019"
233,2,0.000238941090115272,187,2019,"Cohort 2019"
234,2,0.000835864081061238,187,2019,"Cohort 2019"
235,2,0.000806987147581595,187,2019,"Cohort 2019"
236,2,0.000308713763276448,187,2019,"Cohort 2019"
237,2,0.000277582433493027,187,2019,"Cohort 2019"
238,2,0.000873406679653871,187,2019,"Cohort 2019"
239,2,0.00116405050468288,187,2019,"Cohort 2019"
163,4,0.0101901505124906,163,2017,"Cohort 2017"
164,4,0.00702160584060152,163,2017,"Cohort 2017"
165,4,0.00953863638440188,163,2017,"Cohort 2017"
166,4,0.0115208760652016,163,2017,"Cohort 2017"
167,4,0.00632277681938473,163,2017,"Cohort 2017"
168,4,0.0114296037507107,163,2017,"Cohort 2017"
169,4,0.00999016683353502,163,2017,"Cohort 2017"
170,4,0.00919667874025368,163,2017,"Cohort 2017"
171,4,0.0075145900564638,163,2017,"Cohort 2017"
172,4,0.0106173264750154,163,2017,"Cohort 2017"
173,4,0.00881938816625128,163,2017,"Cohort 2017"
174,4,0.00891991068521365,163,2017,"Cohort 2017"
175,4,0.00833159124614696,163,2017,"Cohort 2017"
176,4,0.00489327921104511,163,2017,"Cohort 2017"
177,4,0.00954384398099974,163,2017,"Cohort 2017"
178,4,0.00809164072786107,163,2017,"Cohort 2017"
179,4,0.00867503400274505,163,2017,"Cohort 2017"
180,4,0.007782131099685,163,2017,"Cohort 2017"
181,4,0.00839967629930468,163,2017,"Cohort 2017"
182,4,0.00843118780557785,163,2017,"Cohort 2017"
183,4,0.00942024599716191,163,2017,"Cohort 2017"
184,4,0.00772155318139774,163,2017,"Cohort 2017"
185,4,0.0051256697348271,163,2017,"Cohort 2017"
186,4,0.00768436067915644,163,2017,"Cohort 2017"
187,4,0.00855625013211707,163,2017,"Cohort 2017"
188,4,0.00701936389480582,163,2017,"Cohort 2017"
189,4,0.00657660179907373,163,2017,"Cohort 2017"
190,4,0.00638313488042517,163,2017,"Cohort 2017"
191,4,0.00677339943111849,163,2017,"Cohort 2017"
192,4,0.00706675590410493,163,2017,"Cohort 2017"
193,4,0.00886069356885866,163,2017,"Cohort 2017"
194,4,0.00741281011342365,163,2017,"Cohort 2017"
195,4,0.00457199394838117,163,2017,"Cohort 2017"
196,4,0.00481575196034507,163,2017,"Cohort 2017"
197,4,0.00780898214298222,163,2017,"Cohort 2017"
198,4,0.00797908077537818,163,2017,"Cohort 2017"
199,4,0.00666672837540153,163,2017,"Cohort 2017"
200,4,0.00596630335899744,163,2017,"Cohort 2017"
201,4,0.00580589363244528,163,2017,"Cohort 2017"
202,4,0.00742206823476593,163,2017,"Cohort 2017"
203,4,0.00563538091565952,163,2017,"Cohort 2017"
204,4,0.00728476298991517,163,2017,"Cohort 2017"
205,4,0.00605924213406742,163,2017,"Cohort 2017"
206,4,0.00562556472837997,163,2017,"Cohort 2017"
207,4,0.00532331252154135,163,2017,"Cohort 2017"
208,4,0.0054058229538948,163,2017,"Cohort 2017"
